,product url,ranking,brand,product name,number of ratings,size,star rating,price(in dollar),color,hardware interface,compatible devices,connectivity technology,connector type,data transfer rate,mounting type,special features,date first available
0,https://www.amazon.com/-/zh/dp/B0B1HJ666G/ref=zg_bs_g_pc_d_sccl_1/141-8579742-5590635?psc=1,#1,Sunveza,"Mac Book Pro 充电器 - 118W USB C 充电器快速充电器适用于 USB C 端口 MacBook pro 和 MacBook Air、iPad Pro、Samsung Galaxy 和所有USB C 设备,包括充电线(7.2 英尺/2.2 米)","3,441",Size data not available,,Price data not available,118W MacBook Pro 充电器 - 白色,Hardware interface data not available,,USB,USB Type-C,Data transfer rate data not available,可插入前插座或插板,,Date first available data not available
1,https://www.amazon.com/-/zh/dp/B08H8ZLKKK/ref=zg_bs_g_pc_d_sccl_2/141-8579742-5590635?psc=1,#2,TP-Link,"TP-Link AX1800 WiFi 6 路由器 (Archer AX21) – 双频无线互联网路由器,千兆路由器,易网,可与 Alexa 配合使用 – 人类设备认证","18,679",Size data not available,,Price data not available,Color not available,Hardware interface data not available,"个人电脑, 智能手机, 游戏机, 平板电脑","Wi-Fi, 以太网",Connector type data not available,Data transfer rate data not available,Mounting type data not available,"波束成形, QoS, 兼容 Alexa, 家长控制, 接入点模式, WPS",Date first available data not available
2,https://www.amazon.com/-/zh/dp/B099Z8HLHT/ref=zg_bs_g_pc_d_sccl_3/141-8579742-5590635?psc=1,#3,Brand data not available,"Amazon Fire HD 8 tablet, 8” HD Display, 32 GB, 30% faster processor, designed for portable entertainment, (2022 release), Black","14,660",Size data not available,,99.99,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
3,https://www.amazon.com/-/zh/dp/B0BHZT5S12/ref=zg_bs_g_pc_d_sccl_4/141-8579742-5590635?psc=1,#4,Brand data not available,"Amazon Fire HD 10 tablet, built for relaxation, 10.1"" vibrant Full HD screen, octa-core processor, 3 GB RAM, latest model (2023 release), 32 GB, Black","6,843",Size data not available,,Price data not available,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
4,https://www.amazon.com/-/zh/dp/B096WKKK2K/ref=zg_bs_g_pc_d_sccl_5/141-8579742-5590635?psc=1,#5,Brand data not available,"Amazon Fire 7 tablet, 7” display, read and watch, under $60 with 10-hour battery life, (2022 release), 16 GB, Black","15,782",Size data not available,,Price data not available,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
5,https://www.amazon.com/-/zh/dp/B0BLBLRLJB/ref=zg_bs_g_pc_d_sccl_6/141-8579742-5590635?psc=1,#6,Brand data not available,"Amazon Fire 7 Kids tablet, ages 3-7. Top-selling 7"" kids tablet on Amazon - 2022 | ad-free content with parental controls included, 10-hr battery, 16 GB, Blue","17,084",Size data not available,,Price data not available,Color not available,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,Special features data not available,Date first available data not available
6,https://www.amazon.com/-/zh/dp/B08LVD89GV/ref=zg_bs_g_pc_d_sccl_7/141-8579742-5590635?psc=1,#7,IFEART,"适用于 MacBook Air MacBook Pro 13 14 15 16 英寸 2024 2023 2022 2021 2020、M1 M2 M3 笔记本电脑 70W USB C 电源适配器、iPad、LED、6.6FT USB-C 电缆充电 ing as Fast as MagSafe 3,原装品质","3,016",Size data not available,,Price data not available,白色,Hardware interface data not available,,USB,USB Type-C,Data transfer rate data not available,壁挂式,"可伸缩电源插头, 轻量化设计, 快速充电, 充电指示灯, 旅行",Date first available data not available
7,https://www.amazon.com/-/zh/dp/B089T1SX32/ref=zg_bs_g_pc_d_sccl_8/141-8579742-5590635?psc=1,#8,HIBBO,HP 笔记本电脑充电器 65W 45W 智能蓝头电源适配器,"3,329",Size data not available,,Price data not available,黑色//白色,Hardware interface data not available,,USB,4.5 x 3.0 毫米蓝色笔尖,Data transfer rate data not available,壁挂式,快速充电,Date first available data not available
8,https://www.amazon.com/-/zh/dp/B09GHV6G55/ref=zg_bs_g_pc_d_sccl_9/141-8579742-5590635?psc=1,#9,Dell,戴尔 65W USB-C 笔记本电脑充电器适用于 XPS 和 Latitude 5000 - 包括电源线,"1,176",Size data not available,,Price data not available,黑色//白色,Hardware interface data not available,戴尔电脑,USB,USB Type-C,Data transfer rate data not available,壁挂式,2WDR5,Date first available data not available
9,https://www.amazon.com/-/zh/dp/B0B3BVWJ6Y/ref=zg_bs_g_pc_d_sccl_10/141-8579742-5590635?psc=1,#10,Apple,"Apple 2022 MacBook Air 笔记本电脑,带 M2 芯片:13.6 英寸液体视网膜显示屏,8GB 内存,256GB 固态硬盘存储,背光键盘,1080p FaceTime 高清摄像头。适用于 iPhone 和 iPad;午夜","2,448",Size data not available,4.4,815.04,午夜黑,Hardware interface data not available,Compatible devices data not available,Connectivity technology data not available,Connector type data not available,Data transfer rate data not available,Mounting type data not available,背光键盘,Date first available data not available
